City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Whitehorse,5,CA,2019-04-02,26,60.72,-135.06,13.0,2.6
Lucapa,0,AO,2019-04-02,90,-8.42,20.74,18.06,1.17
Ixtapa,5,MX,2019-04-02,83,20.71,-105.21,24.44,3.1
Sitka,0,US,2019-04-02,44,37.17,-99.65,12.22,3.12
Alexandria,1,US,2019-04-02,66,31.31,-92.44,9.0,2.1
Inverell,20,AU,2019-04-02,50,-29.78,151.11,24.44,1.79
Puerto Madero,8,AR,2019-04-02,94,-34.61,-58.36,22.22,3.6
Carbonia,0,IT,2019-04-02,93,39.17,8.53,11.67,3.1
Palafrugell,32,ES,2019-04-02,100,41.92,3.16,8.89,1.12
Tautira,75,PF,2019-04-02,66,-17.73,-149.15,31.0,4.6
Harper,1,US,2019-04-02,53,30.3,-99.24,13.0,3.6
Hami,12,CN,2019-04-02,49,42.84,93.51,17.46,3.92
Pimampiro,76,EC,2019-04-02,100,0.39,-77.94,10.91,0.17
Berlevag,75,NO,2019-04-02,74,70.86,29.09,-1.0,6.2
Kaeo,68,NZ,2019-04-02,67,-35.1,173.78,22.22,2.68
Arkhangelskoye,0,RU,2019-04-02,90,54.46,37.62,-1.94,4.82
Newton Stewart,75,GB,2019-04-02,93,54.96,-4.48,5.0,2.1
Yenangyaung,0,MM,2019-04-02,66,20.46,94.87,29.46,1.62
Nizhniy Odes,24,RU,2019-04-02,78,63.64,54.86,-4.24,3.32
Ponta do Sol,0,BR,2019-04-02,92,-20.63,-46.0,17.71,1.52
Turayf,0,SA,2019-04-02,100,31.68,38.65,6.0,2.1
Roald,64,NO,2019-04-02,55,62.58,6.12,4.0,4.6
Houston,1,US,2019-04-02,81,29.76,-95.37,10.56,1.37
Peterhead,0,AU,2019-04-02,33,-34.83,138.5,27.78,6.2
Mecca,0,SA,2019-04-02,55,21.43,39.83,9.06,1.32
Rafaela,92,AR,2019-04-02,84,-31.25,-61.49,21.67,2.12
Puerto del Rosario,24,ES,2019-04-02,82,28.5,-13.86,18.0,4.6
Husavik,24,CA,2019-04-02,78,50.56,-96.99,1.67,1.34
De Aar,0,ZA,2019-04-02,49,-30.65,24.01,6.51,3.62
Lebedinyy,0,RU,2019-04-02,56,58.52,125.52,-0.24,1.67
Cordoba,88,CO,2019-04-02,97,5.59,-73.79,12.31,0.87
Damietta,8,EG,2019-04-02,100,31.42,31.81,7.41,2.57
Morondava,0,MG,2019-04-02,100,-20.3,44.28,21.71,1.52
Wainwright,0,CA,2019-04-02,59,52.84,-110.86,1.56,6.62
Malartic,40,CA,2019-04-02,50,48.14,-78.13,-1.0,4.6
Balkhash,12,KZ,2019-04-02,96,46.84,74.98,1.61,1.47
Bollnas,32,SE,2019-04-02,56,61.35,16.39,-0.44,3.27
Puerto Leguizamo,76,CO,2019-04-02,83,-0.19,-74.78,25.81,1.62
Dali,0,CN,2019-04-02,56,25.6,100.24,18.16,1.52
Pizhanka,0,RU,2019-04-02,69,57.46,48.54,-8.24,2.57
Lasa,20,CY,2019-04-02,87,34.92,32.53,11.0,3.1
Mandera,0,ET,2019-04-02,18,3.94,41.86,20.56,2.12
Kitimat,5,CA,2019-04-02,25,54.02,-128.69,16.0,3.1
Onalaska,90,US,2019-04-02,68,43.88,-91.23,6.11,4.32
Montepuez,0,MZ,2019-04-02,93,-13.13,39.0,18.16,1.42
Nishihara,75,JP,2019-04-02,20,35.74,139.53,15.0,2.1
Gillette,75,US,2019-04-02,74,44.29,-105.5,3.0,4.6
Muncar,76,ID,2019-04-02,89,-8.43,114.34,27.66,1.47
Fort Nelson,75,CA,2019-04-02,48,58.81,-122.69,6.0,4.1
Vao,20,EE,2019-04-02,84,59.1,26.19,-3.14,4.02
Misratah,44,LY,2019-04-02,97,32.38,15.09,14.31,5.27
Macheng,92,CN,2019-04-02,94,31.18,115.03,11.06,1.37
Colombo,20,LK,2019-04-02,83,6.93,79.85,26.0,2.6
Nhulunbuy,75,AU,2019-04-02,79,-12.18,136.78,29.0,4.6
Vila Velha,75,BR,2019-04-02,94,-3.71,-38.6,25.0,3.6
Limbang,75,BN,2019-04-02,62,4.75,115.01,31.0,1.5
Umm Lajj,0,SA,2019-04-02,100,25.02,37.27,12.21,1.97
Namibe,0,AO,2019-04-02,100,-15.19,12.15,26.26,4.12
Thinadhoo,0,MV,2019-04-02,100,0.53,72.93,28.76,3.57
Barrancas,0,AR,2019-04-02,64,-33.1,-68.71,22.0,1.0
Bosaso,0,SO,2019-04-02,100,11.28,49.18,26.21,3.97
Kisesa,75,TZ,2019-04-02,83,-2.55,33.05,21.0,4.6
Ahuimanu,20,US,2019-04-02,69,21.44,-157.84,27.0,4.1
Sept-Iles,40,CA,2019-04-02,48,50.2,-66.38,-4.44,7.2
Bereznik,0,RU,2019-04-02,72,62.86,42.71,-7.94,3.02
Plettenberg Bay,80,ZA,2019-04-02,100,-34.05,23.37,15.71,1.07
Yumen,24,CN,2019-04-02,40,40.29,97.04,12.46,2.52
Santa Rosa,0,AR,2019-04-02,93,-36.62,-64.29,19.86,3.87
Hirara,40,JP,2019-04-02,52,24.8,125.28,22.0,7.7
Pandan,24,PH,2019-04-02,96,11.72,122.09,27.16,8.22
Paramonga,44,PE,2019-04-02,96,-10.68,-77.82,19.31,5.12
Umm Kaddadah,0,SD,2019-04-02,24,13.6,26.69,17.61,5.02
Orange Walk,40,JM,2019-04-02,69,17.93,-76.27,28.0,2.6
Vaasa,0,FI,2019-04-02,76,63.1,21.62,0.0,2.1
Padang,20,ID,2019-04-02,100,-0.92,100.36,28.51,2.32
Billings,40,US,2019-04-02,92,45.79,-108.5,4.0,2.1
Dicabisagan,92,PH,2019-04-02,100,17.08,122.42,24.66,1.97
Topraisar,0,RO,2019-04-02,41,44.01,28.45,6.11,6.7
Deloraine,20,CA,2019-04-02,90,49.18,-100.5,1.67,2.68
Batemans Bay,0,AU,2019-04-02,62,-35.71,150.18,21.11,2.24
Yining,92,CN,2019-04-02,100,29.04,114.56,11.31,1.42
Khasan,8,RU,2019-04-02,64,42.43,130.64,5.06,4.02
Rovinj,32,HR,2019-04-02,75,45.08,13.64,14.44,4.22
Broome,56,GB,2019-04-02,93,52.47,1.45,6.0,1.0
Evans,75,US,2019-04-02,45,40.38,-104.69,10.0,4.6
Jackville,20,CI,2019-04-02,83,5.21,-4.42,29.0,2.6
Salisbury,12,GB,2019-04-02,93,51.07,-1.8,6.67,1.5
Coquimbo,90,CL,2019-04-02,87,-29.95,-71.34,15.0,1.5
Strizhi,0,RU,2019-04-02,67,58.46,49.29,-8.84,1.57
Atoyac,75,MX,2019-04-02,72,18.92,-96.78,20.0,6.2
Avanigadda,20,IN,2019-04-02,94,16.02,80.92,26.0,1.5
Waterfoot,92,GB,2019-04-02,93,53.69,-2.25,6.67,2.1
Mitsamiouli,36,KM,2019-04-02,100,-11.38,43.28,27.11,2.22
Margate,75,AU,2019-04-02,42,-43.03,147.26,18.89,3.1
Tarnogskiy Gorodok,0,RU,2019-04-02,79,60.5,43.58,-9.19,3.27
Lozuvatka,0,UA,2019-04-02,57,49.68,35.29,0.76,6.02
Znamenskoye,48,RU,2019-04-02,93,57.13,73.82,1.66,9.17
Maragogi,88,BR,2019-04-02,100,-9.01,-35.22,23.66,1.02
Ahipara,68,NZ,2019-04-02,85,-35.17,173.16,19.66,7.02
Manado,40,ID,2019-04-02,59,1.49,124.85,32.0,2.1
Aklavik,75,CA,2019-04-02,73,68.22,-135.01,-7.0,5.1
Sungaipenuh,0,ID,2019-04-02,73,-2.08,101.38,24.91,0.22
Istok,0,PL,2019-04-02,69,52.66,23.48,-0.57,3.82
Riyadh,44,SA,2019-04-02,31,24.63,46.72,16.0,1.5
Santo Antonio do Amparo,8,BR,2019-04-02,94,-20.95,-44.92,16.91,3.22
Marawi,88,PH,2019-04-02,78,8.0,124.29,27.78,2.68
Xai-Xai,64,MZ,2019-04-02,96,-25.04,33.64,25.41,5.07
Tecoanapa,5,MX,2019-04-02,74,16.99,-99.26,27.0,3.6
Yuzhnyy,80,RU,2019-04-02,93,53.54,39.45,-4.19,5.17
Pangoa,12,PE,2019-04-02,94,-12.12,-73.0,19.56,1.07
Nouakchott,0,MR,2019-04-02,77,18.08,-15.98,20.0,6.2
Ryotsu,75,JP,2019-04-02,100,38.08,138.43,4.0,6.2
Adeje,36,NG,2019-04-02,92,5.68,5.76,25.66,3.02
Itoigawa,88,JP,2019-04-02,100,37.02,137.87,3.26,7.37
Port Macquarie,40,AU,2019-04-02,93,-31.43,152.91,22.22,3.1
Anloga,20,GH,2019-04-02,83,5.79,0.9,29.0,3.1
El Chol,20,GT,2019-04-02,56,14.96,-90.48,21.0,5.1
Kilimatinde,36,TZ,2019-04-02,90,-5.75,34.82,18.46,1.87
Luderitz,0,NA,2019-04-02,80,-26.65,15.16,14.31,6.92
Hobyo,0,SO,2019-04-02,90,5.35,48.53,25.16,3.87
Ati,8,TD,2019-04-02,18,13.21,18.34,23.96,4.87
Beringovskiy,88,RU,2019-04-02,100,63.05,179.32,-0.24,5.52
Meuselwitz,0,DE,2019-04-02,69,51.05,12.3,5.56,4.1
Pochutla,40,MX,2019-04-02,61,15.74,-96.47,27.22,3.12
Aleksandrov Gay,92,RU,2019-04-02,75,50.14,48.57,-0.74,1.62
Enshi,100,CN,2019-04-02,100,30.29,109.48,9.96,1.62
Vardo,1,US,2019-04-02,80,39.62,-77.74,3.33,1.02
La Asuncion,76,EC,2019-04-02,99,-1.64,-78.74,8.81,0.72
Pau Brasil,0,BR,2019-04-02,92,-15.46,-39.65,21.26,2.07
Zhigansk,92,RU,2019-04-02,81,66.77,123.37,-1.39,3.32
Mwinilunga,8,ZM,2019-04-02,88,-11.73,24.43,17.61,1.07
Casteltermini,92,IT,2019-04-02,84,37.54,13.64,13.33,0.62
Westport,92,IE,2019-04-02,85,53.8,-9.52,4.44,2.68
Egvekinot,44,RU,2019-04-02,93,66.32,-179.17,-0.59,1.42
Puerto Baquerizo Moreno,64,EC,2019-04-02,98,-0.9,-89.6,27.06,2.87
Soyo,12,AO,2019-04-02,93,-6.13,12.37,26.81,1.97
San Andres,0,PH,2019-04-02,99,13.32,122.68,27.31,4.52
Cockburn Town,0,TC,2019-04-02,100,21.46,-71.14,25.31,6.37
Beyneu,92,KZ,2019-04-02,87,45.32,55.19,7.46,8.82
Bonavista,24,CA,2019-04-02,88,48.65,-53.11,3.33,6.26
Vernon,1,CA,2019-04-02,59,50.27,-119.27,12.0,4.1
Vagur,76,FO,2019-04-02,100,61.47,-6.81,5.71,3.97
Manyana,75,AU,2019-04-02,49,-35.26,150.51,22.22,4.1
Saint-Paul,0,FR,2019-04-02,45,45.22,1.9,11.11,3.6
Marsaxlokk,20,MT,2019-04-02,87,35.84,14.54,14.0,1.5
Halifax,75,CA,2019-04-02,99,44.65,-63.58,0.0,9.3
Tinaogan,68,PH,2019-04-02,92,11.29,124.98,27.41,5.87
Saveh,0,IR,2019-04-02,81,35.02,50.36,4.96,3.92
Taltal,32,CL,2019-04-02,98,-25.41,-70.49,11.96,0.62
Qaqortoq,100,GL,2019-04-02,99,60.72,-46.03,0.86,10.97
Ismailia,56,EG,2019-04-02,91,30.6,32.27,9.56,2.97
Homer,0,US,2019-04-02,75,59.64,-151.54,7.22,4.1
Grinnell,90,US,2019-04-02,49,41.74,-92.72,10.0,5.1
Buraydah,40,SA,2019-04-02,47,26.33,43.97,14.0,3.6
Shimoda,20,JP,2019-04-02,53,34.7,138.93,15.0,4.6
Paita,36,PE,2019-04-02,69,-5.09,-81.11,23.66,2.27
Makakilo City,40,US,2019-04-02,44,21.35,-158.09,27.0,3.6
Noyabrsk,92,RU,2019-04-02,100,63.2,75.45,0.56,3.82
Kawardha,0,IN,2019-04-02,22,22.01,81.23,29.06,1.32
Maraba,0,BR,2019-04-02,100,-5.35,-49.1,25.0,1.0
Townsville,75,AU,2019-04-02,61,-19.26,146.82,28.0,4.6
Marakkanam,88,IN,2019-04-02,94,12.2,79.95,28.16,3.52
Abu Samrah,24,SY,2019-04-02,95,35.3,37.18,9.26,4.52
Teguldet,48,RU,2019-04-02,72,57.31,88.17,1.21,3.87
Shache,36,CN,2019-04-02,38,38.42,77.24,12.96,2.42
Bukama,8,CD,2019-04-02,91,-9.2,25.85,20.61,0.62
Marrakesh,20,MA,2019-04-02,82,31.63,-7.99,14.0,1.0
Tibati,0,CM,2019-04-02,46,6.47,12.63,18.66,2.07
Libreville,20,GA,2019-04-02,94,0.39,9.45,24.0,2.1
Lagos,20,NG,2019-04-02,88,6.46,3.39,28.0,1.0
Sumenep,36,ID,2019-04-02,100,-7.02,113.87,28.56,1.32
Zapolyarnyy,0,RU,2019-04-02,79,69.43,30.82,-4.0,11.8
Fukue,20,JP,2019-04-02,46,35.03,136.69,11.11,6.7
Talakan,0,RU,2019-04-02,44,50.29,130.28,2.81,3.02
Verkh-Usugli,24,RU,2019-04-02,39,52.7,115.17,2.96,2.92
Lundazi,68,ZM,2019-04-02,84,-12.29,33.17,20.26,1.22
Ostrovnoy,68,RU,2019-04-02,86,68.05,39.51,-3.99,7.07
Porbandar,5,IN,2019-04-02,78,21.64,69.61,23.0,3.1
Manzhouli,0,CN,2019-04-02,25,49.6,117.43,3.61,3.37
Songea,44,TZ,2019-04-02,94,-10.68,35.65,18.31,0.42
Champerico,5,MX,2019-04-02,73,16.38,-93.6,22.0,10.3
Estelle,1,US,2019-04-02,46,32.87,-97.01,13.33,1.27
Bambanglipuro,64,ID,2019-04-02,100,-7.95,110.28,25.06,1.82
Juba,0,EE,2019-04-02,86,57.82,26.93,-1.0,4.6
Botngard,0,NO,2019-04-02,100,63.77,9.81,2.78,5.1
Cidreira,8,BR,2019-04-02,84,-30.17,-50.22,22.46,5.12
Kenai,1,US,2019-04-02,52,60.55,-151.26,7.22,3.1
Chunskiy,0,RU,2019-04-02,62,56.08,99.63,2.56,1.52
Makungu,76,TZ,2019-04-02,95,-8.74,35.29,19.31,0.62
Rurrenabaque,44,BO,2019-04-02,86,-14.44,-67.53,23.96,0.32
Abu Dhabi,0,AE,2019-04-02,73,24.47,54.37,25.0,5.1
Los Llanos de Aridane,90,ES,2019-04-02,67,28.66,-17.92,15.0,4.1
Gizo,40,IL,2019-04-02,82,31.8,34.94,13.0,2.1
Gijon,8,ES,2019-04-02,93,43.54,-5.66,12.22,4.1
Ghatanji,0,IN,2019-04-02,28,20.14,78.32,29.16,2.52
Ust-Maya,24,RU,2019-04-02,68,60.42,134.54,-1.89,1.67
Taseyevo,12,RU,2019-04-02,76,57.22,94.9,1.26,1.82
Chabahar,12,IR,2019-04-02,92,25.29,60.65,24.41,1.32
Chateauroux,36,FR,2019-04-02,82,43.72,0.65,13.0,3.6
Bulgan,0,MN,2019-04-02,26,48.81,103.53,10.61,1.82
Vila Franca do Campo,40,PT,2019-04-02,67,37.72,-25.43,14.0,8.7
Lamu,8,ID,2019-04-02,82,0.57,122.3,28.76,0.72
Hauterive,0,FR,2019-04-02,34,46.09,3.45,11.0,2.1
Roebourne,0,AU,2019-04-02,35,-20.77,117.15,36.51,3.42
Ushumun,0,RU,2019-04-02,41,52.78,126.54,3.26,3.47
Saint Anthony,75,US,2019-04-02,36,43.97,-111.68,10.0,1.5
Acajutla,8,SV,2019-04-02,85,13.59,-89.83,24.91,1.67
Orlik,0,RU,2019-04-02,65,52.51,99.83,-1.24,1.07
Yelovo,0,RU,2019-04-02,74,57.05,54.92,-7.59,1.07
Banjar,76,ID,2019-04-02,92,-7.37,108.54,24.01,1.32
Adre,0,TD,2019-04-02,22,13.47,22.2,21.06,5.37
Henties Bay,0,NA,2019-04-02,87,-22.12,14.28,15.56,1.34
Mumford,36,GH,2019-04-02,93,5.26,-0.76,26.26,3.57
Great Bend,1,US,2019-04-02,57,38.36,-98.78,9.0,5.1
Barranca de Upia,24,CO,2019-04-02,85,4.57,-72.97,19.71,0.77
Brae,88,GB,2019-04-02,87,60.4,-1.35,6.0,8.7
Vikulovo,0,RU,2019-04-02,84,55.07,40.96,-4.39,4.57
Jieshi,36,CN,2019-04-02,88,22.82,115.83,21.46,8.42
Mani,0,GR,2019-04-02,78,41.41,26.4,6.21,4.52
Kuldur,0,RU,2019-04-02,45,49.22,131.63,1.56,2.67
Ossora,68,RU,2019-04-02,100,59.24,163.07,-1.24,3.87
Otavi,12,NA,2019-04-02,88,-19.64,17.34,14.56,1.62
Loreto,44,PY,2019-04-02,77,-23.27,-57.32,25.46,2.47
Ayan,48,TR,2019-04-02,82,40.67,33.6,-4.54,1.02
Contamana,8,PE,2019-04-02,87,-7.35,-75.01,25.96,0.92
